가까운
가냘픈
가녀린
가느다란
가능한
가당찮은
가려운
가벼운
가뿐한
가쁜
가상한
가소로운
가슴아픈
가여운
가지런한
가차없는
가치있는
가칠한
가파른
가혹한
각박한
각별한
간곳없는
간드러진
간사한
간절한
간지러운
감미로운
감상적인
감쪽같은
갑갑한
갑작스러운
값진
강력한
강렬한
강인한
강직한
강한
개운한
갸륵한
갸름한
거나한
거대한
거뜬한
거룩한
거만한
거먼
거무스레한
거무죽죽한
거북한
거센
거지같은
거짓된
거짓스러운
거창한
거추장스러운
거친
거칠한
거침없는
걱정스러운
건강한
건장한
건전한
건조한
걸걸한
걸맞는
걸쭉한
걸출한
검은
검붉은
검소한
검푸른
게걸스러운
게으른
격심한
격한
견고한
견실한
결백한
겸손한
겸연쩍은
겸허한
경건한
경망스러운
경미한
경박한
경사스러운
경솔한
경악스러운
경이로운
고결한
고고한
고귀한
고급스러운
고난스러운
고단한
고달픈
고독한
고된
고래등같은
고른
고리타분한
고마운
고분고분한
고상한
고소한
고요한
고유한
고지식한
고통스러운
고풍스러운
고픈
곤란한
곤욕스러운
곤핍한
곤한
곤혹스러운
곧은
고운
곱슬곱슬한
공고한
공공연한
공교로운
공명정대한
공명한
공손한
공연스러운
공연한
공정한
공허한
과격한
과년한
과대한
과묵한
과민한
과밀한
과분한
과장스러운
과한
관계없는
관계있는
관대한
관심없는
관심있는
괄괄한
광포한
광폭한
괘씸스러운
괘씸한
괜찮은
괴기스러운
괴로운
괴상한
교만한
교양없는
교양있는
교활한
구부정한
구슬픈
구질구질한
구차한
구태의연한
굴뚝같은
굵은
굵직굵직한
궁금한
궂은
권태로운
귀신같은
귀염성있는
귀여운
귀중한
귀찮은
규칙적인
균일한
균형있는
그득그득한
그득한
그럴싸한
그만한
그지없는
극난한
극미한
극성스러운
극소한
극심한
극진한
극친한
극한
근검한
근근한
근면한
근심스러운
근엄한
글썽글썽한
글썽한
금수같은
금쪽같은
급급한
급박한
급작스러운
급한
기괴한
기막힌
기민한
기쁜
기세등등한
기약한
기찬
기탄없는
기품있는
기한
긴가민가한
긴급한
긴밀한
긴요한
길쭉한
길한
깊은
까다로운
까딱없는
까마득한
까만
까무스름한
까무잡잡한
까슬까슬한
까탈스러운
깍듯한
깐깐한
깔깔한
깜깜한
깜쪽같은
깜찍한
깨끗한
깨알같은
꺼림칙한
꺼벙한
꺼칠한
꼬들꼬들한
꼼꼼한
꼼짝없는
꽁한
꾀죄죄한
꾸밈없는
꾸부정한
꾸준한
꿈같은
꿈결같은
끄떡없는
끈질긴
끔찍스러운
끔찍한
끝없는
나긋나긋한
나긋한
나른한
나쁜
나직한
나태한
낙후한
난삽한
난잡한
난폭한
날랜
날렵한
날쌘
날씬한
날카로운
남루한
남부러운
남부럽잖은
남자다운
남짓한
납덩이같은
납작납작한
납작한
나은
낭랑한
낭자한
낭패스러운
낯간지러운
낯두꺼운
낯뜨거운
낯부끄러운
낯선
낯익은
냉담한
냉랭한
냉엄한
냉정한
냉철한
너그러운
너끈한
너덜너덜한
너른
너저분한
너절한
넉넉한
넉살좋은
널찍널찍한
널찍한
네모난
노곤한
노란
노련한
노릇한
노린
노쇠한
노숙한
노여운
노후한
녹진한
농염한
농후한
높은
누추한
눅눅한
눈꼴사나운
눈꼴신
눈꼴시린
눈익은
느끼한
느린
느슨한
늘씬한
늠름한
능글능글한
능란한
능력있는
능수능란한
능청스러운
능통한
늦는
다감한
다급한
다름아닌
다름없는
다복한
다소곳한
다습한
다시없는
다재다능한
다정한
다채로운
다행스러운
단단한
단란한
단순한
단아한
단일한
단조로운
단호한
달가운
단
달랑달랑한
달짝지근한
닳아빠진
담담한
담대한
담백한
답답한
당연한
당찮은
대견한
대단한
대담한
대등한
대범한
대중없는
대쪽같은
대찬
더러운
더부룩한
더북한
덤덤한
더운
덧없는
도도한
도톰한
독실한
독특한
독한
돈독한
동등한
동일한
된
두꺼운
두둑한
두려운
두서없는
두툼한
둔감한
둔중한
둔탁한
둔한
드문
든든한
들쑥날쑥한
듬성듬성한
따가운
따끔한
따뜻한
따분한
따사로운
따스한
딱딱한
딱부러진
땅딸막한
떠들썩한
떨떠름한
떳떳한
또렷한
똑똑한
똑바른
뚜렷한
뚱딴지같은
뚱뚱한
뚱한
뛰어난
뜨거운
뜨끈한
뜬금없는
뜸한
뜻깊은
뜻있는
로맨틱한
마땅찮은
마땅한
마려운
막강한
막대한
막막한
막심한
막중한
만만한
만무한
만연한
만족스러운
많은
말끔한
말랑말랑한
말랑한
말쑥한
맑은
맛깔스러운
맛없는
맛있는
망신스러운
망연한
망측한
매끈한
매력있는
매몰찬
매서운
매캐한
매콤한
맥없는
맹한
머쓱한
먹음직스러운
먹음직한
먼
멀쑥한
멀쩡한
멋들어진
멋없는
멋있는
멋진
메스꺼운
명랑한
명료한
명명백백한
명백한
명석한
명예로운
명예스러운
명철한
명쾌한
명확한
모진
모호한
목석같은
